Node 1 - (All other nodes are similar and are in sync. Several Blocks committed as part of view 319445 (from block 4168 to 4183) 

Node 2 -  Out of sync, started from view 319445. What we can notice below is starts to stall after Block 4182.  If you look at seq 4168, you can see the block new and block valid (901405…) are different from the block commit (0c3d0…..). Interestingly in the other nodes this block was the one committed at block 4183!
INFO  | pbft_engine::node:16 | (PP, view 319444, seq 4168 *): Starting change to view 319445
INFO  | pbft_engine::node:48 | (V(319445), view 319445, seq 4168): Updated to view 319445
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4168): Got BlockNew: 4168 / 901405a7adab4d6bffcf037b04e252fb963b9e2000174881ad40c98c232443165ba0b368a7919c6d4ee18ed3b8ea0d771dd5e8b852aef88b331e4e925e714609
INFO  | pbft_engine::node:67 | Got BlockValid: 901405a7adab4d6bffcf037b04e252fb963b9e2000174881ad40c98c232443165ba0b368a7919c6d4ee18ed3b8ea0d771dd5e8b852aef88b331e4e925e714609
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4168): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4168): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4168): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4168): Got BlockCommit for 0c3d0398563f89b28a3f09fb98a2d8f47dfa7581c556a1bd51aad2be5bf7bfd961814187955deb10e14f55d7aaaeab95250757ccc65b4289006decb7ba03e636
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4169): Got BlockNew: 4169 / 2a571b1b74c1073294e86e9d344d44e86c960de8369a0bf05d1e7ffb65119d6d50fed2ff620cf6fd6f0929fab4a58447002a0a6b966a53fa8279c1184e59e66e
INFO  | pbft_engine::node:67 | Got BlockValid: 2a571b1b74c1073294e86e9d344d44e86c960de8369a0bf05d1e7ffb65119d6d50fed2ff620cf6fd6f0929fab4a58447002a0a6b966a53fa8279c1184e59e66e
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4169): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4169): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4169): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4169): Got BlockCommit for 2a571b1b74c1073294e86e9d344d44e86c960de8369a0bf05d1e7ffb65119d6d50fed2ff620cf6fd6f0929fab4a58447002a0a6b966a53fa8279c1184e59e66e
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4170): Got BlockNew: 4170 / 2e26f95eedbab41ecc5ce917e171027ab1064b83af9367e400cb5a8d2caba7597d6005efef68d58d61ef0b3b02ec027ebbbc51382bc8974ac7cd91811865de8a
INFO  | pbft_engine::node:67 | Got BlockValid: 2e26f95eedbab41ecc5ce917e171027ab1064b83af9367e400cb5a8d2caba7597d6005efef68d58d61ef0b3b02ec027ebbbc51382bc8974ac7cd91811865de8a
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4170): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4170): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4170): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4170): Got BlockCommit for 2e26f95eedbab41ecc5ce917e171027ab1064b83af9367e400cb5a8d2caba7597d6005efef68d58d61ef0b3b02ec027ebbbc51382bc8974ac7cd91811865de8a
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4171): Got BlockNew: 4171 / 9f0e395aa7aac14cf4ec4f910a6d4a03e3efaee2c43735bca44c5691939541e533e60242da8d39b1b1686f6bdee9525af76493d4bd5b10bb2a453a6b00a2e438
INFO  | pbft_engine::node:67 | Got BlockValid: 9f0e395aa7aac14cf4ec4f910a6d4a03e3efaee2c43735bca44c5691939541e533e60242da8d39b1b1686f6bdee9525af76493d4bd5b10bb2a453a6b00a2e438
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4171): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4171): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4171): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4171): Got BlockCommit for 9f0e395aa7aac14cf4ec4f910a6d4a03e3efaee2c43735bca44c5691939541e533e60242da8d39b1b1686f6bdee9525af76493d4bd5b10bb2a453a6b00a2e438
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4172): Got BlockNew: 4172 / 958e5870bdf0b6220f25b065d483d11eebb2a3a9c78fb25223e809d888c198d5153560123c3eaa5d2ceb55a5b94916f9be4bdf2baad1f3720136c1272a9335c9
INFO  | pbft_engine::node:67 | Got BlockValid: 958e5870bdf0b6220f25b065d483d11eebb2a3a9c78fb25223e809d888c198d5153560123c3eaa5d2ceb55a5b94916f9be4bdf2baad1f3720136c1272a9335c9
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4172): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4172): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4172): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4172): Got BlockCommit for 958e5870bdf0b6220f25b065d483d11eebb2a3a9c78fb25223e809d888c198d5153560123c3eaa5d2ceb55a5b94916f9be4bdf2baad1f3720136c1272a9335c9
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4173): Got BlockNew: 4173 / 55012cbe10d6426fc181c905b21cbe3812b5e3211e424d3a87e3c756963949aa2e88b73f95939afd3c5b361dca6722aeda4bb5f327289bf0b011446ed49a7048
INFO  | pbft_engine::node:67 | Got BlockValid: 55012cbe10d6426fc181c905b21cbe3812b5e3211e424d3a87e3c756963949aa2e88b73f95939afd3c5b361dca6722aeda4bb5f327289bf0b011446ed49a7048
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4173): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4173): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4173): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4173): Got BlockCommit for 55012cbe10d6426fc181c905b21cbe3812b5e3211e424d3a87e3c756963949aa2e88b73f95939afd3c5b361dca6722aeda4bb5f327289bf0b011446ed49a7048
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4174): Got BlockNew: 4174 / 18541c9bad9edbe65804318908cbd6125212809322e7d2fa3e115c56c20bc6d43d8748f9d05ed352b04a5541faa2810e6938231dc84c6ffef5e0a80a8c61c57c
INFO  | pbft_engine::node:67 | Got BlockValid: 18541c9bad9edbe65804318908cbd6125212809322e7d2fa3e115c56c20bc6d43d8748f9d05ed352b04a5541faa2810e6938231dc84c6ffef5e0a80a8c61c57c
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4174): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4174): Changing to Committing
DEBUG | pbft_engine::state:2 | (Co, view 319445, seq 4174): Changing to Finishing false
INFO  | pbft_engine::node:83 | (Fi(false), view 319445, seq 4174): Got BlockCommit for 18541c9bad9edbe65804318908cbd6125212809322e7d2fa3e115c56c20bc6d43d8748f9d05ed352b04a5541faa2810e6938231dc84c6ffef5e0a80a8c61c57c
INFO  | pbft_engine::node:58 | (PP, view 319445, seq 4175): Got BlockNew: 4175 / a85dee39fabe7a9f8921ec71d89e96ec57de9b19a16c590216b0be1b5e15ee6974bbd06c79e8477226dc16895b54100282f6f6421346c0b4c9b53af418f69659
INFO  | pbft_engine::node:67 | Got BlockValid: a85dee39fabe7a9f8921ec71d89e96ec57de9b19a16c590216b0be1b5e15ee6974bbd06c79e8477226dc16895b54100282f6f6421346c0b4c9b53af418f69659
DEBUG | pbft_engine::state:2 | (PP, view 319445, seq 4175): Changing to Preparing
DEBUG | pbft_engine::state:2 | (Pr, view 319445, seq 4175): Changing to Committing
