WARN  | pbft_engine::engine: | Idle timeout expired; proposing view change
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
ERROR | pbft_engine::engine: | InternalError: Couldn't find 2f commit messages in the message log for building a seal
WARN  | pbft_engine::engine: | View change timeout expired; proposing view change for view 1151630
